pk_porg,pk_account,fk_financial_year
2953,10002852,202425
2974,10002873,202425
3009,10002908,202425
3011,30043635,202425
3014,10002913,202425
3017,10002916,202425
3018,10002917,202425
3019,10019284,202425
3020,10012150,202425
3030,10002929,202425
3032,10002781,202425
3045,30007778,202425
3054,10002953,202425
3066,30070944,202425
3080,10002979,202425
3082,10002981,202425
3083,10002982,202425
3084,10002983,202425
3085,10002984,202425
3088,10002987,202425
3091,10002990,202425
3107,10002050,202425
3109,10003008,202425
3111,10003010,202425
3119,10003018,202425
3122,10003021,202425
3126,10003025,202425
3128,10003027,202425
3130,10003029,202425
3143,10003042,202425
3146,30097307,202425
3158,10003057,202425
3159,10003058,202425
3164,10003063,202425
3179,10003078,202425
3186,10003085,202425
3206,10003105,202425
3220,10003119,202425
3224,10003123,202425
3231,10003450,202425
3242,10004737,202425
3250,10003149,202425
3256,30080707,202425
3257,30059293,202425
3266,10010781,202425
3291,10012153,202425
3310,10003209,202425
3317,10003216,202425
3327,10003226,202425
3333,10001257,202425
3344,10003243,202425
3360,30056341,202425
3378,10005950,202425
3380,10003279,202425
3386,10006223,202425
3387,10007203,202425
3396,10003295,202425
3450,30005488,202425
3451,10003350,202425
3458,10003357,202425
3462,10003361,202425
3464,10003363,202425
3483,10003382,202425
3488,10003385,202425
3511,10003410,202425
3531,10003430,202425
3565,10003464,202425
3571,30075473,202425
3573,10003472,202425
3583,10003482,202425
3639,10003538,202425
3641,10003540,202425
3655,10003554,202425
3672,10003572,202425
3714,10003613,202425
3719,10003618,202425
3720,10003619,202425
3721,10003620,202425
3723,10003622,202425
3750,10003649,202425
3751,10000534,202425
3751,10001122,202425
3751,10001401,202425
3751,10001409,202425
3751,10001745,202425
3751,10001746,202425
3751,10001747,202425
3751,10001749,202425
3751,10001750,202425
3751,10001751,202425
3751,10001752,202425
3751,10001754,202425
3751,10001758,202425
3751,10001804,202425
3751,10002845,202425
3751,10003056,202425
3751,10003092,202425
3751,10003093,202425
3751,10003094,202425
3751,10003095,202425
3751,10003096,202425
3751,10003097,202425
3751,10003100,202425
3751,10003102,202425
3751,10003355,202425
3751,10003393,202425
3751,10003394,202425
3751,10003395,202425
3751,10003396,202425
3751,10003397,202425
3751,10003398,202425
3751,10003650,202425
3751,10004579,202425
3751,10007112,202425
3751,10009338,202425
3751,10009339,202425
3751,10009865,202425
3751,10012014,202425
3751,10018843,202425
3751,10018844,202425
3751,10022126,202425
3751,10022136,202425
3751,10022229,202425
3751,10022500,202425
3751,30005639,202425
3751,30011938,202425
3751,30011939,202425
3751,30011940,202425
3751,30011941,202425
3751,30011942,202425
